Date,Manager ID,Product ID,Quantity Sold,Price Per Unit,Sales (USD),Returns
9/22/2024,4,2,7,$120.00 ,$840.00 ,0
10/21/2024,8,12,9,$50.00 ,$450.00 ,0
11/4/2024,14,2,2,$120.00 ,$240.00 ,0
11/28/2024,8,13,8,$30.00 ,$240.00 ,0
9/1/2024,1,4,1,$150.00 ,$150.00 ,0
3/23/2024,16,8,8,$25.00 ,$200.00 ,0
5/16/2024,6,1,4,$25.00 ,$100.00 ,0
7/1/2023,8,10,2,$100.00 ,$200.00 ,0
3/25/2024,7,7,8,$100.00 ,$800.00 ,0
2/18/2023,16,14,5,$95.00 ,$475.00 ,0
3/19/2024,4,16,2,$50.00 ,$100.00 ,0
10/6/2023,14,8,1,$25.00 ,$25.00 ,0
5/6/2024,14,15,2,$20.00 ,$40.00 ,0
2/9/2023,2,8,2,$25.00 ,$50.00 ,0
6/15/2024,15,1,3,$25.00 ,$75.00 ,0
12/14/2023,14,16,9,$50.00 ,$450.00 ,0
7/20/2023,10,4,4,$150.00 ,$600.00 ,0
12/20/2024,13,5,3,$80.00 ,$240.00 ,0
3/28/2023,14,8,7,$25.00 ,$175.00 ,0
4/26/2023,1,13,9,$30.00 ,$270.00 ,0
12/3/2023,10,5,5,$80.00 ,$400.00 ,0
9/22/2023,15,12,1,$50.00 ,$50.00 ,0
10/13/2023,1,16,1,$50.00 ,$50.00 ,0
2/10/2024,15,6,4,$15.00 ,$60.00 ,0
2/15/2023,1,13,4,$30.00 ,$120.00 ,0
9/17/2023,12,2,2,$120.00 ,$240.00 ,0
4/6/2024,10,15,6,$20.00 ,$120.00 ,0
8/3/2024,13,16,1,$50.00 ,$50.00 ,0
7/12/2024,15,8,6,$25.00 ,$150.00 ,0
7/14/2024,10,3,6,$20.00 ,$120.00 ,0
5/2/2023,9,16,3,$50.00 ,$150.00 ,0
5/4/2024,16,10,1,$100.00 ,$100.00 ,0
11/28/2024,17,6,3,$15.00 ,$45.00 ,0
5/25/2023,13,5,10,$80.00 ,$800.00 ,0
10/24/2023,18,14,2,$95.00 ,$190.00 ,0
2/8/2024,15,16,3,$50.00 ,$150.00 ,0
5/27/2023,17,14,1,$95.00 ,$95.00 ,0
4/11/2023,11,15,9,$20.00 ,$180.00 ,0
11/5/2024,11,2,8,$120.00 ,$960.00 ,1
11/22/2024,4,10,9,$100.00 ,$900.00 ,0
3/12/2023,4,11,1,$60.00 ,$60.00 ,0
2/10/2024,5,5,6,$80.00 ,$480.00 ,1
11/26/2024,4,15,8,$20.00 ,$160.00 ,0
9/6/2023,1,2,10,$120.00 ,"$1,200.00 ",0
9/16/2024,1,6,6,$15.00 ,$90.00 ,0
6/14/2023,9,7,9,$100.00 ,$900.00 ,2
2/14/2024,3,3,4,$20.00 ,$80.00 ,0
10/23/2023,1,16,1,$50.00 ,$50.00 ,0
7/2/2024,15,5,10,$80.00 ,$800.00 ,0
2/17/2024,1,4,5,$150.00 ,$750.00 ,0
5/30/2024,15,8,2,$25.00 ,$50.00 ,0
5/15/2024,7,16,3,$50.00 ,$150.00 ,0
3/6/2024,18,8,8,$25.00 ,$200.00 ,0
6/27/2024,9,5,2,$80.00 ,$160.00 ,0
10/29/2023,14,13,6,$30.00 ,$180.00 ,0
10/11/2024,7,11,2,$60.00 ,$120.00 ,0
8/9/2024,1,9,8,$110.00 ,$880.00 ,0
10/18/2024,5,10,4,$100.00 ,$400.00 ,1
1/16/2023,17,3,3,$20.00 ,$60.00 ,0
6/3/2024,8,10,7,$100.00 ,$700.00 ,0
8/31/2024,17,4,10,$150.00 ,"$1,500.00 ",0
10/13/2023,15,12,9,$50.00 ,$450.00 ,0
1/17/2023,9,15,4,$20.00 ,$80.00 ,0
8/31/2023,4,7,1,$100.00 ,$100.00 ,0
1/12/2023,7,15,4,$20.00 ,$80.00 ,0
2/2/2023,5,9,6,$110.00 ,$660.00 ,0
12/4/2023,18,14,3,$95.00 ,$285.00 ,1
1/16/2024,1,13,8,$30.00 ,$240.00 ,0
1/26/2024,5,14,8,$95.00 ,$760.00 ,0
6/26/2023,15,16,1,$50.00 ,$50.00 ,0
3/4/2024,8,2,1,$120.00 ,$120.00 ,0
10/29/2023,16,9,6,$110.00 ,$660.00 ,0
6/23/2023,16,14,2,$95.00 ,$190.00 ,0
9/2/2024,3,9,4,$110.00 ,$440.00 ,0
8/18/2023,1,16,2,$50.00 ,$100.00 ,0
6/9/2024,14,15,8,$20.00 ,$160.00 ,0
12/1/2023,4,15,3,$20.00 ,$60.00 ,0
8/19/2024,1,1,4,$25.00 ,$100.00 ,0
5/2/2023,11,14,5,$95.00 ,$475.00 ,0
6/22/2023,8,7,8,$100.00 ,$800.00 ,0
1/31/2023,13,13,1,$30.00 ,$30.00 ,0
11/6/2023,7,12,6,$50.00 ,$300.00 ,0
7/24/2023,13,10,5,$100.00 ,$500.00 ,0
2/21/2023,4,5,7,$80.00 ,$560.00 ,0
9/28/2023,7,15,9,$20.00 ,$180.00 ,0
6/7/2024,1,6,2,$15.00 ,$30.00 ,0
1/24/2023,14,15,2,$20.00 ,$40.00 ,0
12/21/2023,11,6,5,$15.00 ,$75.00 ,0
11/26/2023,10,1,8,$25.00 ,$200.00 ,2
6/13/2023,8,10,9,$100.00 ,$900.00 ,0
7/16/2024,4,10,1,$100.00 ,$100.00 ,0
7/20/2024,16,11,7,$60.00 ,$420.00 ,1
2/26/2023,11,3,7,$20.00 ,$140.00 ,0
2/10/2023,18,10,6,$100.00 ,$600.00 ,0
8/4/2024,15,3,10,$20.00 ,$200.00 ,0
4/20/2023,4,14,7,$95.00 ,$665.00 ,0
11/27/2024,8,15,1,$20.00 ,$20.00 ,0
11/28/2023,8,6,6,$15.00 ,$90.00 ,0
9/4/2023,11,11,3,$60.00 ,$180.00 ,0
10/2/2024,11,5,9,$80.00 ,$720.00 ,0
5/24/2024,7,6,9,$15.00 ,$135.00 ,0
4/17/2024,7,6,10,$15.00 ,$150.00 ,0
11/12/2024,17,15,8,$20.00 ,$160.00 ,0
6/3/2024,5,5,5,$80.00 ,$400.00 ,0
4/22/2024,3,15,6,$20.00 ,$120.00 ,0
1/4/2023,14,4,7,$150.00 ,"$1,050.00 ",0
6/21/2023,5,6,5,$15.00 ,$75.00 ,0
7/5/2023,17,15,2,$20.00 ,$40.00 ,0
8/31/2023,10,2,2,$120.00 ,$240.00 ,0
10/22/2024,2,2,2,$120.00 ,$240.00 ,0
6/28/2023,6,16,4,$50.00 ,$200.00 ,0
3/25/2023,5,5,6,$80.00 ,$480.00 ,2
10/13/2024,14,13,3,$30.00 ,$90.00 ,0
12/9/2023,2,14,9,$95.00 ,$855.00 ,0
8/6/2023,6,15,9,$20.00 ,$180.00 ,0
10/21/2023,5,1,8,$25.00 ,$200.00 ,0
12/7/2024,10,15,10,$20.00 ,$200.00 ,0
11/24/2024,7,16,6,$50.00 ,$300.00 ,0
4/6/2023,6,13,9,$30.00 ,$270.00 ,0
6/6/2024,15,16,1,$50.00 ,$50.00 ,0
7/20/2024,15,12,1,$50.00 ,$50.00 ,0
7/27/2024,1,16,7,$50.00 ,$350.00 ,0
10/19/2024,9,7,6,$100.00 ,$600.00 ,0
1/9/2024,7,6,3,$15.00 ,$45.00 ,0
11/23/2024,16,15,2,$20.00 ,$40.00 ,0
10/19/2024,9,13,2,$30.00 ,$60.00 ,0
4/20/2024,17,14,1,$95.00 ,$95.00 ,0
1/27/2023,15,15,6,$20.00 ,$120.00 ,0
11/3/2024,10,11,9,$60.00 ,$540.00 ,2
10/26/2023,16,13,9,$30.00 ,$270.00 ,0
8/12/2024,9,14,1,$95.00 ,$95.00 ,0
6/15/2023,12,13,7,$30.00 ,$210.00 ,0
5/27/2023,4,1,3,$25.00 ,$75.00 ,0
11/17/2023,4,8,5,$25.00 ,$125.00 ,1
5/24/2024,8,4,6,$150.00 ,$900.00 ,1
12/26/2024,16,12,5,$50.00 ,$250.00 ,1
8/3/2023,3,4,4,$150.00 ,$600.00 ,0
12/31/2024,16,16,1,$50.00 ,$50.00 ,0
1/19/2023,13,5,2,$80.00 ,$160.00 ,0
9/16/2023,18,7,5,$100.00 ,$500.00 ,0
11/1/2023,16,5,10,$80.00 ,$800.00 ,0
8/22/2023,14,15,3,$20.00 ,$60.00 ,1
9/2/2023,11,16,9,$50.00 ,$450.00 ,0
10/1/2023,5,7,9,$100.00 ,$900.00 ,2
3/27/2024,6,7,8,$100.00 ,$800.00 ,0
7/19/2024,16,7,3,$100.00 ,$300.00 ,0
9/7/2024,5,5,9,$80.00 ,$720.00 ,0
10/17/2023,17,13,5,$30.00 ,$150.00 ,0
8/8/2024,12,14,7,$95.00 ,$665.00 ,0
11/28/2024,6,14,10,$95.00 ,$950.00 ,0
2/28/2023,14,16,7,$50.00 ,$350.00 ,2
8/21/2023,15,16,10,$50.00 ,$500.00 ,0
4/5/2024,12,10,1,$100.00 ,$100.00 ,0
7/3/2024,15,14,8,$95.00 ,$760.00 ,0
3/22/2023,11,1,7,$25.00 ,$175.00 ,0
2/21/2023,6,7,8,$100.00 ,$800.00 ,0
10/28/2024,16,4,9,$150.00 ,"$1,350.00 ",0
9/25/2023,5,16,9,$50.00 ,$450.00 ,0
9/3/2024,18,5,3,$80.00 ,$240.00 ,0
12/1/2023,13,9,5,$110.00 ,$550.00 ,0
2/5/2023,18,6,3,$15.00 ,$45.00 ,0
8/26/2023,17,15,1,$20.00 ,$20.00 ,0
12/20/2023,13,1,1,$25.00 ,$25.00 ,0
6/29/2023,13,11,5,$60.00 ,$300.00 ,0
8/24/2024,3,1,4,$25.00 ,$100.00 ,0
4/12/2024,4,6,6,$15.00 ,$90.00 ,0
7/1/2024,14,9,5,$110.00 ,$550.00 ,0
8/23/2023,17,13,4,$30.00 ,$120.00 ,0
4/23/2024,11,2,4,$120.00 ,$480.00 ,0
2/10/2023,8,5,3,$80.00 ,$240.00 ,0
1/7/2023,18,5,1,$80.00 ,$80.00 ,0
6/19/2024,12,1,8,$25.00 ,$200.00 ,0
12/20/2024,11,3,7,$20.00 ,$140.00 ,0
1/19/2024,7,3,7,$20.00 ,$140.00 ,1
9/5/2023,15,16,9,$50.00 ,$450.00 ,0
8/14/2024,14,14,9,$95.00 ,$855.00 ,0
6/11/2024,2,1,9,$25.00 ,$225.00 ,0
11/4/2023,4,4,1,$150.00 ,$150.00 ,0
1/7/2024,12,9,4,$110.00 ,$440.00 ,0
11/1/2024,16,12,5,$50.00 ,$250.00 ,0
3/11/2024,5,7,3,$100.00 ,$300.00 ,0
11/24/2024,17,16,2,$50.00 ,$100.00 ,0
7/7/2024,12,2,4,$120.00 ,$480.00 ,0
2/15/2024,9,5,3,$80.00 ,$240.00 ,0
9/17/2024,1,8,5,$25.00 ,$125.00 ,0
8/16/2023,9,3,10,$20.00 ,$200.00 ,0
5/15/2023,18,8,3,$25.00 ,$75.00 ,0
11/28/2023,13,2,2,$120.00 ,$240.00 ,0
12/30/2023,12,4,10,$150.00 ,"$1,500.00 ",0
3/31/2024,7,13,5,$30.00 ,$150.00 ,1
12/31/2023,14,7,4,$100.00 ,$400.00 ,0
4/8/2023,5,14,9,$95.00 ,$855.00 ,0
6/19/2023,17,6,6,$15.00 ,$90.00 ,0
7/20/2024,5,11,1,$60.00 ,$60.00 ,0
5/15/2023,5,13,7,$30.00 ,$210.00 ,0
1/2/2023,11,11,6,$60.00 ,$360.00 ,0
1/6/2024,13,9,6,$110.00 ,$660.00 ,1
10/5/2023,18,12,2,$50.00 ,$100.00 ,0
1/4/2023,8,10,7,$100.00 ,$700.00 ,0
11/26/2024,7,2,8,$120.00 ,$960.00 ,0
11/19/2024,16,7,1,$100.00 ,$100.00 ,0
5/23/2024,12,13,2,$30.00 ,$60.00 ,0
8/27/2023,18,9,3,$110.00 ,$330.00 ,0
6/28/2024,6,1,2,$25.00 ,$50.00 ,0
5/13/2023,9,1,9,$25.00 ,$225.00 ,0
6/14/2024,12,8,6,$25.00 ,$150.00 ,0
10/9/2024,9,13,9,$30.00 ,$270.00 ,0
2/17/2024,16,1,3,$25.00 ,$75.00 ,0
12/24/2024,13,4,5,$150.00 ,$750.00 ,0
5/6/2023,7,5,7,$80.00 ,$560.00 ,0
9/7/2024,5,1,7,$25.00 ,$175.00 ,0
3/18/2024,15,3,3,$20.00 ,$60.00 ,0
10/21/2024,3,14,1,$95.00 ,$95.00 ,0
6/27/2023,8,11,9,$60.00 ,$540.00 ,1
6/5/2023,10,1,7,$25.00 ,$175.00 ,0
6/21/2024,8,13,6,$30.00 ,$180.00 ,0
12/16/2023,15,1,3,$25.00 ,$75.00 ,0
5/18/2023,11,4,5,$150.00 ,$750.00 ,0
12/30/2024,12,8,8,$25.00 ,$200.00 ,0
10/3/2024,14,6,2,$15.00 ,$30.00 ,0
11/19/2023,4,11,9,$60.00 ,$540.00 ,0
10/1/2023,7,11,6,$60.00 ,$360.00 ,0
10/31/2024,10,5,6,$80.00 ,$480.00 ,0
11/20/2023,2,15,4,$20.00 ,$80.00 ,0
11/4/2023,10,16,4,$50.00 ,$200.00 ,0
7/1/2024,5,8,9,$25.00 ,$225.00 ,0
8/30/2024,4,6,9,$15.00 ,$135.00 ,0
4/21/2023,15,10,4,$100.00 ,$400.00 ,0
9/15/2024,16,16,9,$50.00 ,$450.00 ,0
10/23/2024,18,2,7,$120.00 ,$840.00 ,0
8/28/2023,3,13,6,$30.00 ,$180.00 ,2
2/21/2024,4,11,8,$60.00 ,$480.00 ,0
9/4/2024,11,9,9,$110.00 ,$990.00 ,0
4/3/2023,13,6,8,$15.00 ,$120.00 ,0
6/9/2023,18,16,10,$50.00 ,$500.00 ,0
12/23/2023,11,16,8,$50.00 ,$400.00 ,0
4/29/2023,4,14,7,$95.00 ,$665.00 ,0
10/14/2023,12,5,5,$80.00 ,$400.00 ,0
2/5/2024,10,16,8,$50.00 ,$400.00 ,3
8/8/2023,8,12,8,$50.00 ,$400.00 ,0
9/13/2023,18,6,2,$15.00 ,$30.00 ,0
11/18/2024,5,1,10,$25.00 ,$250.00 ,0
12/11/2024,12,5,8,$80.00 ,$640.00 ,0
11/29/2024,5,11,3,$60.00 ,$180.00 ,0
1/17/2024,2,4,1,$150.00 ,$150.00 ,0
5/10/2024,17,5,10,$80.00 ,$800.00 ,0
3/2/2023,12,6,4,$15.00 ,$60.00 ,0
4/2/2024,15,3,7,$20.00 ,$140.00 ,0
8/15/2023,10,5,9,$80.00 ,$720.00 ,0
2/22/2023,13,1,8,$25.00 ,$200.00 ,0
10/27/2023,11,14,5,$95.00 ,$475.00 ,0
1/13/2023,15,15,8,$20.00 ,$160.00 ,0
6/9/2024,18,14,10,$95.00 ,$950.00 ,0
7/9/2023,10,6,5,$15.00 ,$75.00 ,0
1/10/2024,8,8,8,$25.00 ,$200.00 ,0
3/20/2024,14,11,7,$60.00 ,$420.00 ,0
1/27/2023,15,7,4,$100.00 ,$400.00 ,0
10/1/2023,11,14,8,$95.00 ,$760.00 ,0
2/20/2023,1,10,3,$100.00 ,$300.00 ,0
6/26/2024,10,8,9,$25.00 ,$225.00 ,0
2/16/2024,17,12,3,$50.00 ,$150.00 ,0
10/21/2024,9,8,6,$25.00 ,$150.00 ,0
9/3/2023,6,13,8,$30.00 ,$240.00 ,0
2/17/2024,1,3,3,$20.00 ,$60.00 ,0
7/20/2023,7,9,2,$110.00 ,$220.00 ,0
6/3/2023,7,16,5,$50.00 ,$250.00 ,0
12/28/2023,10,8,8,$25.00 ,$200.00 ,0
4/4/2023,4,8,8,$25.00 ,$200.00 ,0
8/15/2024,13,15,5,$20.00 ,$100.00 ,0
11/24/2024,9,15,1,$20.00 ,$20.00 ,0
11/13/2024,1,5,3,$80.00 ,$240.00 ,0
8/3/2024,1,13,3,$30.00 ,$90.00 ,0
8/11/2024,3,7,5,$100.00 ,$500.00 ,0
8/14/2023,14,1,7,$25.00 ,$175.00 ,0
10/19/2023,2,4,2,$150.00 ,$300.00 ,0
10/27/2024,12,12,10,$50.00 ,$500.00 ,0
3/21/2023,9,10,8,$100.00 ,$800.00 ,0
8/12/2024,7,12,8,$50.00 ,$400.00 ,0
12/12/2023,7,6,5,$15.00 ,$75.00 ,0
2/19/2024,5,4,7,$150.00 ,"$1,050.00 ",0
11/17/2024,10,12,9,$50.00 ,$450.00 ,0
4/4/2023,4,11,3,$60.00 ,$180.00 ,0
10/13/2023,5,9,1,$110.00 ,$110.00 ,0
6/8/2024,11,16,6,$50.00 ,$300.00 ,0
1/12/2024,16,10,6,$100.00 ,$600.00 ,0
7/25/2023,11,3,6,$20.00 ,$120.00 ,0
7/25/2024,11,4,8,$150.00 ,"$1,200.00 ",0
11/9/2023,12,1,10,$25.00 ,$250.00 ,0
5/21/2023,5,10,1,$100.00 ,$100.00 ,0
3/30/2023,2,15,3,$20.00 ,$60.00 ,1
12/10/2024,5,3,2,$20.00 ,$40.00 ,0
5/5/2024,2,12,9,$50.00 ,$450.00 ,0
2/16/2024,4,13,3,$30.00 ,$90.00 ,0
2/17/2023,17,2,3,$120.00 ,$360.00 ,0
8/3/2024,9,8,3,$25.00 ,$75.00 ,0
9/13/2024,13,9,9,$110.00 ,$990.00 ,3
11/28/2024,10,5,2,$80.00 ,$160.00 ,0
7/20/2023,1,16,10,$50.00 ,$500.00 ,0
2/24/2024,7,5,8,$80.00 ,$640.00 ,0
11/22/2024,11,11,6,$60.00 ,$360.00 ,0
7/23/2024,18,6,7,$15.00 ,$105.00 ,0
11/15/2023,6,11,4,$60.00 ,$240.00 ,0
11/22/2023,13,10,9,$100.00 ,$900.00 ,0
9/2/2023,8,6,3,$15.00 ,$45.00 ,0
3/27/2024,3,9,5,$110.00 ,$550.00 ,0
10/14/2024,15,13,10,$30.00 ,$300.00 ,0
12/15/2023,3,6,3,$15.00 ,$45.00 ,0
11/26/2023,12,11,10,$60.00 ,$600.00 ,0
7/3/2024,5,15,3,$20.00 ,$60.00 ,0
12/9/2024,5,1,8,$25.00 ,$200.00 ,0
9/15/2023,10,9,3,$110.00 ,$330.00 ,0
4/5/2023,10,13,9,$30.00 ,$270.00 ,0
1/31/2023,9,15,5,$20.00 ,$100.00 ,0
11/3/2024,1,11,1,$60.00 ,$60.00 ,0
2/20/2023,11,7,3,$100.00 ,$300.00 ,0
11/6/2023,11,1,10,$25.00 ,$250.00 ,0
5/4/2024,8,15,8,$20.00 ,$160.00 ,0
8/29/2024,7,8,8,$25.00 ,$200.00 ,0
9/22/2024,8,14,8,$95.00 ,$760.00 ,0
1/22/2024,4,9,3,$110.00 ,$330.00 ,0
1/7/2023,13,11,4,$60.00 ,$240.00 ,0
10/9/2024,7,1,6,$25.00 ,$150.00 ,0
12/21/2023,6,12,3,$50.00 ,$150.00 ,0
9/26/2023,9,8,10,$25.00 ,$250.00 ,0
12/23/2024,2,16,5,$50.00 ,$250.00 ,0
3/4/2023,4,6,4,$15.00 ,$60.00 ,0
7/4/2023,3,1,5,$25.00 ,$125.00 ,0
4/14/2024,18,16,10,$50.00 ,$500.00 ,0
5/26/2024,4,8,9,$25.00 ,$225.00 ,0
1/2/2023,15,4,3,$150.00 ,$450.00 ,0
1/1/2024,9,13,3,$30.00 ,$90.00 ,0
1/27/2023,8,4,1,$150.00 ,$150.00 ,0
7/23/2023,12,14,6,$95.00 ,$570.00 ,0
6/29/2024,18,7,2,$100.00 ,$200.00 ,0
7/30/2024,17,12,6,$50.00 ,$300.00 ,0
5/3/2024,7,1,5,$25.00 ,$125.00 ,0
7/21/2023,9,13,4,$30.00 ,$120.00 ,0
3/24/2023,17,16,3,$50.00 ,$150.00 ,0
11/4/2024,14,15,1,$20.00 ,$20.00 ,0
12/8/2023,10,9,9,$110.00 ,$990.00 ,0
1/27/2023,6,1,2,$25.00 ,$50.00 ,0
12/9/2023,16,14,10,$95.00 ,$950.00 ,0
12/21/2024,15,4,3,$150.00 ,$450.00 ,0
9/18/2023,7,9,5,$110.00 ,$550.00 ,0
6/15/2024,18,8,2,$25.00 ,$50.00 ,0
4/18/2023,15,15,4,$20.00 ,$80.00 ,0
2/3/2023,7,12,6,$50.00 ,$300.00 ,0
1/29/2023,17,14,3,$95.00 ,$285.00 ,0
12/2/2023,2,8,2,$25.00 ,$50.00 ,0
4/18/2023,14,9,3,$110.00 ,$330.00 ,0
3/12/2024,10,8,8,$25.00 ,$200.00 ,0
11/11/2023,17,14,10,$95.00 ,$950.00 ,0
1/14/2024,4,5,8,$80.00 ,$640.00 ,0
10/2/2023,14,5,5,$80.00 ,$400.00 ,0
10/22/2023,1,7,5,$100.00 ,$500.00 ,0
2/21/2024,3,5,7,$80.00 ,$560.00 ,1
2/12/2023,9,10,7,$100.00 ,$700.00 ,2
6/20/2023,5,2,5,$120.00 ,$600.00 ,0
2/15/2023,6,9,7,$110.00 ,$770.00 ,0
4/8/2023,3,11,5,$60.00 ,$300.00 ,0
6/8/2023,15,3,6,$20.00 ,$120.00 ,0
5/31/2024,17,4,8,$150.00 ,"$1,200.00 ",0
8/19/2024,6,2,3,$120.00 ,$360.00 ,0
3/2/2024,15,6,7,$15.00 ,$105.00 ,0
11/30/2024,4,5,6,$80.00 ,$480.00 ,0
